Site,Store,Brand,Pattern,Size,Type,Price
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BRIDGESTONE,XL BRIDGESTONE TURANZA 6 ENLITEN,205/55R16 94V,"['SUMMER', 'EXTRA LOAD']",110.22
www.dexel.co.uk,Attercliffe (Sheffield) Branch,HANKOOK,XL HANKOOK VENTUS PRIME 4 K135,205/55R16 94W,"['SUMMER', 'EXTRA LOAD']",110.92
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,XL CONTINENTAL ALLSEASONCONTACT 2,205/55R16 94V,"['ALL SEASON', 'EXTRA LOAD']",110.95
www.dexel.co.uk,Attercliffe (Sheffield) Branch,PIRELLI,PIRELLI CINTURATO P7 AO,205/55R16 91W,['SUMMER'],111.14
www.dexel.co.uk,Attercliffe (Sheffield) Branch,PIRELLI,XL PIRELLI CINTURATO (C3),205/55R16 94V,"['SUMMER', 'EXTRA LOAD']",111.14
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,XL CONTINENTAL CONTIECOCONTACT 5,205/55R16 94H,"['SUMMER', 'EXTRA LOAD']",113.00
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,GOODYEAR ULTRAGRIP PERFORMANCE GEN-1 AO,205/55R16 91H,['WINTER'],113.14
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BRIDGESTONE,BRIDGESTONE TURANZA T001 EXT MOE,205/55RF16 91V,"['SUMMER', 'RUN FLAT']",113.36
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BRIDGESTONE,XL BRIDGESTONE TURANZA T005 AO,205/55R16 94V,"['SUMMER', 'EXTRA LOAD']",113.96
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,XL CONTINENTAL FR ULTRACONTACT,205/55R16 94V,"['SUMMER', 'EXTRA LOAD']",114.13
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,XL CONTINENTAL CONTI ECOCONTACT 6,205/55R16 94V,"['SUMMER', 'EXTRA LOAD']",114.13
www.dexel.co.uk,Attercliffe (Sheffield) Branch,MICHELIN,MICHELIN E PRIMACY,205/55R16 91V,['SUMMER'],114.49
www.dexel.co.uk,Attercliffe (Sheffield) Branch,MICHELIN,MICHELIN ENERGY SAVER +,205/55R16 91H,['SUMMER'],114.60
www.dexel.co.uk,Attercliffe (Sheffield) Branch,MICHELIN,MICHELIN PRIMACY 4 S2,205/55R16 91H,['SUMMER'],114.60
www.dexel.co.uk,Attercliffe (Sheffield) Branch,PIRELLI,XL PIRELLI CINTURATO ALL SEASON SF3,205/55R16 94V,"['ALL SEASON', 'EXTRA LOAD']",114.74
www.dexel.co.uk,Attercliffe (Sheffield) Branch,HANKOOK,XL HANKOOK WINTER I*CEPT RS3 W462,205/55R16 94H,"['WINTER', 'EXTRA LOAD']",114.88
www.dexel.co.uk,Attercliffe (Sheffield) Branch,MICHELIN,MICHELIN E PRIMACY,205/55R16 91W,['SUMMER'],114.98
www.dexel.co.uk,Attercliffe (Sheffield) Branch,MICHELIN,MICHELIN PRIMACY 5,205/55R16 91V,['SUMMER'],115.88
www.dexel.co.uk,Attercliffe (Sheffield) Branch,MICHELIN,MICHELIN PRIMACY 5,205/55R16 91H,['SUMMER'],116.00
www.dexel.co.uk,Attercliffe (Sheffield) Branch,MICHELIN,MICHELIN PRIMACY 5,205/55R16 91W,['SUMMER'],116.38
www.dexel.co.uk,Attercliffe (Sheffield) Branch,MICHELIN,XL MICHELIN PILOT SPORT 4,205/55ZR16 (94Y),"['SUMMER', 'EXTRA LOAD']",116.88
www.dexel.co.uk,Attercliffe (Sheffield) Branch,DUNLOP,DUNLOP SP WINTER SPORT 3D DSST MOE,205/55RF16 91H,"['WINTER', 'RUN FLAT']",117.18
www.dexel.co.uk,Attercliffe (Sheffield) Branch,VREDESTEIN,XL VREDESTEIN WINTRAC,205/55R16 94V,"['WINTER', 'EXTRA LOAD']",117.19
www.dexel.co.uk,Attercliffe (Sheffield) Branch,MICHELIN,MICHELIN PRIMACY 4 *,205/55R16 91W,['SUMMER'],117.33
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,XL GOODYEAR ULTRAGRIP PERFORMANCE 3,205/55R16 94H,"['WINTER', 'EXTRA LOAD']",117.38
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BRIDGESTONE,BRIDGESTONE BLIZZAK 6 ENLITEN,205/55R16 91H,['WINTER'],117.91
www.dexel.co.uk,Attercliffe (Sheffield) Branch,MICHELIN,MICHELIN CROSSCLIMATE 3,205/55R16 91H,['ALL SEASON'],117.92
www.dexel.co.uk,Attercliffe (Sheffield) Branch,Dexel - assumed as alt was missing,PREMIUM CHOICE RFT,205/55R16 91V,"['SUMMER', 'RUN FLAT']",118.27
www.dexel.co.uk,Attercliffe (Sheffield) Branch,MICHELIN,MICHELIN CROSSCLIMATE 3,205/55R16 91V,['ALL SEASON'],118.53
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,XL CONTINENTAL ALLSEASONCONTACT 2 SSR,205/55RF16 94V,"['ALL SEASON', 'EXTRA LOAD', 'RUN FLAT']",119.14
www.dexel.co.uk,Attercliffe (Sheffield) Branch,MICHELIN,MICHELIN CROSSCLIMATE 3,205/55R16 91W,['ALL SEASON'],119.55
www.dexel.co.uk,Attercliffe (Sheffield) Branch,DUNLOP,XL DUNLOP SP WINTER SPORT5,205/55R16 94H,"['WINTER', 'EXTRA LOAD']",119.82
www.dexel.co.uk,Attercliffe (Sheffield) Branch,HANKOOK,XL HANKOOK WINTER I*CEPT RS3 W462,205/55R16 94V,"['WINTER', 'EXTRA LOAD']",119.89
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,GOODYEAR FP VECTOR 4SEASONS GEN2 ROF,205/55RF16 91V,"['ALL SEASON', 'RUN FLAT']",120.80
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BRIDGESTONE,BRIDGESTONE TURANZA T005 RFT *,205/55RF16 91W,"['SUMMER', 'RUN FLAT']",121.45
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BRIDGESTONE,BRIDGESTONE TURANZA ER300A RFT *,205/55RF16 91W,"['SUMMER', 'RUN FLAT']",121.45
